LECROYWaveRunner„U,21892,Histogram
Segments,1,SegmentSize,500
Segment,TrigTime,TimeSinceSegment1
#1,15-Jun-2021 12:36:08,0                 
Time,Ampl
-1.8e-09,0
-1.796e-09,0
-1.792e-09,1
-1.788e-09,0
-1.784e-09,0
-1.78e-09,0
-1.776e-09,0
-1.772e-09,0
-1.768e-09,0
-1.764e-09,0
-1.76e-09,0
-1.756e-09,0
-1.752e-09,0
-1.748e-09,0
-1.744e-09,0
-1.74e-09,0
-1.736e-09,0
-1.732e-09,0
-1.728e-09,0
-1.724e-09,0
-1.72e-09,0
-1.716e-09,0
-1.712e-09,0
-1.708e-09,0
-1.704e-09,0
-1.7e-09,0
-1.696e-09,0
-1.692e-09,0
-1.688e-09,0
-1.684e-09,0
-1.68e-09,0
-1.676e-09,0
-1.672e-09,0
-1.668e-09,0
-1.664e-09,0
-1.66e-09,0
-1.656e-09,0
-1.652e-09,0
-1.648e-09,0
-1.644e-09,0
-1.64e-09,0
-1.636e-09,0
-1.632e-09,0
-1.628e-09,0
-1.624e-09,0
-1.62e-09,2
-1.616e-09,0
-1.612e-09,0
-1.608e-09,0
-1.604e-09,0
-1.6e-09,0
-1.596e-09,0
-1.592e-09,0
-1.588e-09,0
-1.584e-09,0
-1.58e-09,0
-1.576e-09,0
-1.572e-09,0
-1.568e-09,0
-1.564e-09,0
-1.56e-09,0
-1.556e-09,0
-1.552e-09,0
-1.548e-09,0
-1.544e-09,0
-1.54e-09,0
-1.536e-09,0
-1.532e-09,1
-1.528e-09,1
-1.524e-09,0
-1.52e-09,0
-1.516e-09,0
-1.512e-09,0
-1.508e-09,0
-1.504e-09,0
-1.5e-09,0
-1.496e-09,0
-1.492e-09,1
-1.488e-09,0
-1.484e-09,0
-1.48e-09,0
-1.476e-09,0
-1.472e-09,0
-1.468e-09,0
-1.464e-09,0
-1.46e-09,0
-1.456e-09,0
-1.452e-09,0
-1.448e-09,0
-1.444e-09,0
-1.44e-09,0
-1.436e-09,1
-1.432e-09,0
-1.428e-09,0
-1.424e-09,0
-1.42e-09,0
-1.416e-09,0
-1.412e-09,0
-1.408e-09,0
-1.404e-09,0
-1.4e-09,0
-1.396e-09,0
-1.392e-09,0
-1.388e-09,0
-1.384e-09,0
-1.38e-09,0
-1.376e-09,0
-1.372e-09,1
-1.368e-09,0
-1.364e-09,0
-1.36e-09,0
-1.356e-09,0
-1.352e-09,0
-1.348e-09,0
-1.344e-09,0
-1.34e-09,0
-1.336e-09,0
-1.332e-09,0
-1.328e-09,1
-1.324e-09,0
-1.32e-09,0
-1.316e-09,0
-1.312e-09,0
-1.308e-09,0
-1.304e-09,1
-1.3e-09,0
-1.296e-09,1
-1.292e-09,0
-1.288e-09,0
-1.284e-09,0
-1.28e-09,0
-1.276e-09,0
-1.272e-09,0
-1.268e-09,0
-1.264e-09,0
-1.26e-09,2
-1.256e-09,0
-1.252e-09,0
-1.248e-09,0
-1.244e-09,0
-1.24e-09,0
-1.236e-09,0
-1.232e-09,0
-1.228e-09,0
-1.224e-09,0
-1.22e-09,0
-1.216e-09,0
-1.212e-09,0
-1.208e-09,0
-1.204e-09,0
-1.2e-09,0
-1.196e-09,1
-1.192e-09,0
-1.188e-09,0
-1.184e-09,0
-1.18e-09,0
-1.176e-09,0
-1.172e-09,0
-1.168e-09,0
-1.164e-09,0
-1.16e-09,0
-1.156e-09,0
-1.152e-09,0
-1.148e-09,0
-1.144e-09,0
-1.14e-09,0
-1.136e-09,1
-1.132e-09,0
-1.128e-09,0
-1.124e-09,0
-1.12e-09,0
-1.116e-09,0
-1.112e-09,1
-1.108e-09,0
-1.104e-09,0
-1.1e-09,0
-1.096e-09,1
-1.092e-09,1
-1.088e-09,0
-1.084e-09,1
-1.08e-09,2
-1.076e-09,0
-1.072e-09,1
-1.068e-09,0
-1.064e-09,1
-1.06e-09,0
-1.056e-09,0
-1.052e-09,1
-1.048e-09,1
-1.044e-09,0
-1.04e-09,1
-1.036e-09,0
-1.032e-09,0
-1.028e-09,1
-1.024e-09,1
-1.02e-09,1
-1.016e-09,0
-1.012e-09,1
-1.008e-09,0
-1.004e-09,1
-1e-09,2
-9.96e-10,0
-9.92e-10,0
-9.88e-10,1
-9.84e-10,1
-9.8e-10,0
-9.76e-10,0
-9.72e-10,0
-9.68e-10,1
-9.64e-10,0
-9.6e-10,0
-9.56e-10,1
-9.52e-10,0
-9.48e-10,1
-9.44e-10,2
-9.4e-10,1
-9.36e-10,1
-9.32e-10,2
-9.28e-10,1
-9.24e-10,2
-9.2e-10,0
-9.16e-10,0
-9.12e-10,2
-9.08e-10,0
-9.04e-10,1
-9e-10,1
-8.96e-10,4
-8.92e-10,0
-8.88e-10,2
-8.84e-10,1
-8.8e-10,0
-8.76e-10,0
-8.72e-10,2
-8.68e-10,2
-8.64e-10,1
-8.6e-10,1
-8.56e-10,0
-8.52e-10,0
-8.48e-10,1
-8.44e-10,1
-8.4e-10,1
-8.36e-10,2
-8.32e-10,1
-8.28e-10,0
-8.24e-10,3
-8.2e-10,1
-8.16e-10,0
-8.12e-10,0
-8.08e-10,1
-8.04e-10,3
-8e-10,3
-7.96e-10,2
-7.92e-10,2
-7.88e-10,2
-7.84e-10,1
-7.8e-10,2
-7.76e-10,4
-7.72e-10,3
-7.68e-10,3
-7.64e-10,0
-7.6e-10,1
-7.56e-10,0
-7.52e-10,6
-7.48e-10,2
-7.44e-10,2
-7.4e-10,5
-7.36e-10,4
-7.32e-10,2
-7.28e-10,3
-7.24e-10,0
-7.2e-10,1
-7.16e-10,0
-7.12e-10,1
-7.08e-10,3
-7.04e-10,4
-7e-10,2
-6.96e-10,2
-6.92e-10,1
-6.88e-10,0
-6.84e-10,3
-6.8e-10,5
-6.76e-10,3
-6.72e-10,6
-6.68e-10,2
-6.64e-10,3
-6.6e-10,2
-6.56e-10,1
-6.52e-10,3
-6.48e-10,2
-6.44e-10,2
-6.4e-10,0
-6.36e-10,4
-6.32e-10,4
-6.28e-10,4
-6.24e-10,1
-6.2e-10,8
-6.16e-10,5
-6.12e-10,5
-6.08e-10,5
-6.04e-10,2
-6e-10,5
-5.96e-10,7
-5.92e-10,9
-5.88e-10,5
-5.84e-10,6
-5.8e-10,5
-5.76e-10,6
-5.72e-10,3
-5.68e-10,6
-5.64e-10,7
-5.6e-10,6
-5.56e-10,8
-5.52e-10,9
-5.48e-10,2
-5.44e-10,7
-5.4e-10,6
-5.36e-10,10
-5.32e-10,6
-5.28e-10,15
-5.24e-10,17
-5.2e-10,9
-5.16e-10,9
-5.12e-10,7
-5.08e-10,10
-5.04e-10,12
-5e-10,15
-4.96e-10,11
-4.92e-10,9
-4.88e-10,18
-4.84e-10,11
-4.8e-10,15
-4.76e-10,11
-4.72e-10,8
-4.68e-10,10
